"subj_code","condition_1","desktop_conf","attent_conf","scale_orient","DV_rating","Scenario","explanation","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"sxKbGBI6uLOD",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","They both have spears and without being able to see if they have a net or not it has to be a 50/50.",2,1,34,"1: male","None that I saw.","correct","correct"
"TGaTSypK1NSN",1,"1: I confirm","1: I will take it seriously","narrow_left",3,"spearNet_notKnow","i put it cause im fairly certain he is just a hunter",2,1,21,"1: male","none","correct","correct"
"UGNeWPRlMkRd",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","Without knowing if the person is carrying a net it's impossible to say for definitely where he belongs",2,1,30,"1: male","N/A","correct","correct"
"UtANqdXAqtKN",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","both tribes carry spears so it could be a person from either tribe , a 50/50 choice",2,1,25,"2: female",NA,"correct","correct"
"Vs7uQgwgw9EH",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","while it would be easy to assume he'd more likely be a hunter, in reality most people wouldn't have a net in one hand and a spear in the other when just walking around. there's no reason he wouldn't have a net on him as well, so it could go either way.",2,1,27,"1: male",NA,"correct","correct"
"VSCnbj4a5mrx",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","both hunters and fisherman carry spears and they're is an equal split between them. therefore it is a 50/50 chance that he is also carrying a net ",2,1,19,"2: female",NA,"correct","correct"
"0oVAwZAIl0Qc",2,"1: I confirm","1: I will take it seriously","narrow_right",6,"spearNet_notKnow","Well it said fishermen carries nets so If you can't see them carrying a net is most likely to be a spearman but then again they could have left their nets at home. So you can't really tell if it is fisherman or a spearman ",2,1,30,"1: male",NA,"correct","correct"
"2AHt2PhU4apl",2,"1: I confirm","1: I will take it seriously","narrow_right",7,"spearNet_notKnow","This lead me to believe he who carry spear and a net should be obvious visisally a naturally assumed especially with fishermen as their job would be using net in bulk of time, so that he didn`t I would think more likely  thought to be a hunter.",2,1,43,"2: female",NA,"correct","correct"
"4HIIIOu74jlR",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","All tribe members have spears, if the man has a spear they are just as likely to be either",2,1,22,"1: male",NA,"correct","correct"
"5LLPykXLFnpS",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","There is no way of knowing which tribe he belongs to.  Both tribes have spears, so there is a 50:50 chance of it being either.",2,1,41,"1: male",NA,"correct","correct"
"8lCrhRZoTO5J",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","If he is carrying a spear, he could be a fisherman or a hunter. The fact that you don't know if he has a net does not mean he is a hunter.",2,1,57,"1: male","N/A","correct","correct"
"8lO4apjIzHix",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","The information provided was to the effect that the tribesman had a spear, so he could belong to either group. There was no information given as to whether or not he also had a net, therefore eithermembership was equally likely.


",2,1,72,"1: male","No errors were seen.  The Study performed flawlessly in every respect, thank you.","correct","correct"
"D9A5DfhDGgYF",2,"1: I confirm","1: I will take it seriously","narrow_right",8,"spearNet_notKnow","I could not guarantee he does not have a net with him, it could be placed somewhere in his clothing or laid down on the ground so I can not pressume he is definitely a hunter. However, because he seems to appear without a net, I can try to guess that he is more likely to be a hunter than a fisherman.",2,1,30,"2: female",NA,"correct","correct"
"fYZXm2Ulhf3s",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","He is definitely either a hunter or spearfisher. But since we don't know if he has a net, it is a 50/50 chance that he is one or the other. ",2,1,22,"1: male",NA,"correct","correct"
"FZOpNETb6QNY",2,"1: I confirm","1: I will take it seriously","narrow_right",8,"spearNet_notKnow","higher probability of being a hunter as no net",2,1,59,"1: male","none","correct","correct"
"HyKF9hZzkRGK",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","It is impossible to tell whether he is a hunter or fisherman without knowing if he has a net or not.",2,1,35,"1: male","I had no issues.","correct","correct"
"ivjmYYuetIDr",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","We know both hunters and fisherman have spears, but only fisherman have nets, assuming 50/50. In this scenario we don't know if the individual has a net, therefore it is a 50/50 guess, due to the two options.",2,1,24,"2: female","n/a","correct","correct"
"jB0s7m40XI0H",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","It feels like there was an equal chance of either fishermen or hunters having a spear.",2,1,44,"1: male",NA,"correct","correct"
"JbVWGCZDgvIj",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","Both could carry a spear so it could be any of the two.",2,1,23,"2: female",NA,"correct","correct"
"M4MN6OEgVw4E",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","The tribesman could have left his fish net behind at the moment that he was seen. Equally so, tribesman with no fishing net could just be that.",2,1,32,"2: female",NA,"correct","correct"
"MDGtzVv8Q5s2",2,"1: I confirm","1: I will take it seriously","narrow_right",4,"spearNet_notKnow","He had a spear which is certainly used by the fisherman so there is higher chance.  But the hunters can also use spears so there is small chance for that also.",2,1,36,"1: male",NA,"correct","correct"
"mux7W5ZbS3jq",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","There is not enough information to make a conclusion as to whether they were hunters or fishermen.",2,1,32,"1: male","Nothing further to add.","correct","correct"
"nlrEkt7YIzSi",2,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_notKnow","If he had a net I'd presumably be able to see it. So he must be a hunter. ",2,1,43,"2: female",NA,"correct","correct"
"Pr05Z1RJlnaS",2,"1: I confirm","1: I will take it seriously","narrow_right",7,"spearNet_notKnow","I thought if he was a fisherman, his net would be more visible. Given that I wasn't sure, I hedged my bets a bit and thought he was slightly more likely to be a spearsman.",2,1,25,"1: male","Nothing I could spot!","correct","correct"
"pz2IFYr2I5lC",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","there is no way of knowing what tribe he is on because they all carry a spear and not seeing if he has a net or not gives it a 50/50 chance to be a fisherman or a hunter.",2,1,32,"2: female","n/a","correct","correct"
"rR9QfjA6c82X",2,"1: I confirm","1: I will take it seriously","narrow_right",7,"spearNet_notKnow","I think that it is more probable that they are not a fisherman because a net would be easy to see.",2,1,32,"2: female",NA,"correct","correct"
"tL4BPfJBqqJK",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","If both carry spears and only fishmen carry nets, and we dont know whether the tribesman also carries a net in additin to the spear, then the chances are 50/50",2,1,25,"2: female",NA,"correct","correct"
"UWF1If7Ya8Zw",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","The only thing that I can know for sure is that all members of the tribe have spears (half are hunters, half are fishermen) so there is a 50/50 chance that the individual is one or the other",2,1,40,"2: female","no errors identified, nothing to report","correct","correct"
"V9VTessKefn7",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","As they could have the net somewhere out of sight I feel that there is an equal chance.",2,1,20,"1: male",NA,"correct","correct"
"vVhUofOh2gtv",2,"1: I confirm","1: I will take it seriously","narrow_right",7,"spearNet_notKnow","Just because he doesn't have a net with him at this specific time doesn't necessarily mean he doesn't own a net. As these two groupd are prevelant in the area the chances of being a hunter are a little higher than him being a fisherman.",2,1,59,"1: male","second spelling of feathered in the question check about what defines a hunter and fisherman is incorrect.","correct","correct"
"y0GYqRYDiuzK",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_notKnow","both hunters and spearmans can carry a spear, so they could be either of them.",2,1,34,"2: female",NA,"correct","correct"
"6iTQxRqvmhr8",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","I felt as though it could be anyone because not enough information was given for me to reach a fully rounded decision. ",2,1,30,"1: male","None.","correct","correct"
"7GW30qeEmHsn",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Because both sets of tribesman carry spears, it is statistically half and half",2,1,26,"1: male",NA,"correct","correct"
"c9rzYZHBK5Bc",3,"1: I confirm","1: I will take it seriously","narrow_left",2,"spearNet_noInfo","I assumed this answer because it wasn't made aware that the tribe was carrying the other item.",2,1,26,"2: female",NA,"correct","correct"
"CMTOSdYOf774",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","We were told that half of the Tokolo tribe are hunters and carry spears and the other half are spear fishermen and also carry spears (although they also carry nets). Therefore, the chance was equal since they both carry spears.",2,1,44,"2: female","No errors or problems.","correct","correct"
"DIsmxH28URIM",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","both of them carrier spears so they could belong to either, only the fishermen also carry a net and they only said they were carrying a spear.",2,1,46,"2: female",NA,"correct","correct"
"ES9aLnLS5x2y",3,"1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_noInfo","hE HAS A SPEAR FOR A REASON - AND THAT REASON IS HUNTING.",2,1,47,"1: male","NONE","correct","correct"
"F86IOzkcuqkc",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Both of the tribesmen would carry a spear so therefore the probability has to be 50%.",2,1,42,"2: female",NA,"correct","correct"
"fmjyjJKVS3po",3,"1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_noInfo","If he only had a spears he must be a hunter",2,1,42,"2: female",NA,"correct","correct"
"ifUEVBzXaRqL",3,"1: I confirm","1: I will take it seriously","narrow_left",3,"spearNet_noInfo","they have a spear but doesnt mention if they also have a net so could be either",2,1,26,"1: male","N/A","correct","correct"
"J00zoRn7l3IT",3,"1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_noInfo","i rated him has a hunter since he only had a spear, of course he could have lost his net in which case he would be a fisherman",2,1,76,"1: male","none","correct","correct"
"KoaxrAxuiS9l",3,"1: I confirm","1: I will take it seriously","narrow_left",1,"spearNet_noInfo","The fisherman always carry a net so they should have been carry both. However, there is a chance they may have not been carrying at the time so I didn't place my response all the way to the left.",2,1,30,"1: male",NA,"correct","correct"
"MjxrGoImTLn1",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","all the tribemen carry spears, the only differrence is that the fishermen carry nets",2,1,45,"1: male","none","correct","correct"
"MO8LhNilU4Ll",3,"1: I confirm","1: I will take it seriously","narrow_left",3,"spearNet_noInfo","If they have a spear only and no net, they are more likely to be a hunter",2,1,30,"1: male",NA,"correct","correct"
"N9EbIfcyuRpk",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Both carry spears, the fishermen also carry nets along with the spear",2,1,49,"2: female","No errors","correct","correct"
"qVGS11Py46eL",3,"1: I confirm","1: I will take it seriously","narrow_left",2,"spearNet_noInfo","It's more likely to be a hunter as a fisherman would probably also be carrying a net.",2,1,26,"1: male",NA,"correct","correct"
"RQVTsp6pkjLZ",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Half of them are hunters with spears and the other half are fishermen with spears. So when I see a tribesman carrying a spear, I cannot tell whether he is a hunter or a fisherman. So it is 50:50.",2,1,33,"1: male",NA,"correct","correct"
"T7Ld3nIpNUE0",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","The short segment talked about how both speared fisherman and the tribe have spears. I would think the fisherman are apart of the tribe because they have the same weapon.",2,1,27,"2: female",NA,"correct","correct"
"Tf9ICzX9vZ6g",3,"1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_noInfo","I would say Hunter only as the fisherman would also have his net with him. He would be unable to catch many fish without one.",2,1,26,"2: female",NA,"correct","correct"
"tff3w0QnIqMH",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","There's an equal probability of it being either group as you didn't disclose the sizes of each group. So by default it'll be 50%.",2,1,35,"1: male",NA,"correct","correct"
"u1sgl8q2jIhd",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","I saw a spear which meant that they could have been either a hunter or a fisherman, but I did not immediately see a net which would have confirmed either way.",2,1,53,"1: male",NA,"correct","correct"
"UKOHutxtUMPa",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Both hunters and fishermen carry spears so it is an chance that the tribesman belongs either group",2,1,76,"1: male",NA,"correct","correct"
"uRBLAIFal9GR",3,"1: I confirm","1: I will take it seriously","narrow_left",4,"spearNet_noInfo","It didn't mention that they had or didn't have a net so I sided slightly with the hunters on the basis it wasn't mentioned.",2,1,32,"1: male",NA,"correct","correct"
"VCBFd8XOkwDt",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","It says that 50 percent of each belong to each tribe and they all carry spears so carrying spears does not tell you which it would be so therefore it has to be 50 percent chance of belonging to either.",2,1,40,"1: male","No issues or errors","correct","correct"
"vQkvcgv2MY7Y",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","Both hunters and Spear Fisherman carry a spear, so it could equally be either. It did not state whether they had a net on them or not. If it stated a spear and nothing else, we could confidently state it was a hunter or vice versa.",2,1,30,"1: male",NA,"correct","correct"
"vROOdROwKxj9",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_noInfo","The one group has nets and both groups have spears. Since the paragraph did not mention whether this person had a net also, it is impossible to know for certain to which group this person belongs. ",2,1,37,"2: female","I did not come across any errors.","correct","correct"
"18OK5x7GVBxb",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","Due to both job groups carry spears it could be either. If it said ""just"" a spear then it must have been a hunter.",2,1,42,"1: male",NA,"correct","correct"
"2qDGihrv6h6q",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","both hunters have spears, so it could be either",2,1,54,"2: female",NA,"correct","correct"
"32uP7MTxIr7U",4,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_noInfo","If it was a spear fisherman they would carry a net as well as the spear.",2,1,49,"2: female","N/A","correct","correct"
"7xeFLE3bATQy",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","we only know for certain he has a spear.  there is no information as to if he does or does not have a net.  since both fishermen and huntsmen carry spear, based upon given information there's a 50/50 chance ",2,1,43,"1: male",NA,"correct","correct"
"bU7slro6Rd5W",4,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_noInfo","It said he had a spear it didn't say anything about a net, so I believe he is a hunter",2,1,49,"1: male",NA,"correct","correct"
"gpUAxO9mtiDl",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","All of the tribesmen carry spears. Half carry nets. This man carries a spear. he may also have a net - it just does not say whether he does or not. therefore he could equally be either of the two groups within the tribe.",2,1,53,"2: female","none","correct","correct"
"hWORjjxg35Js",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","The description stated the tribesman had a spear - both hunters and tribesmen were said to carry a spear, so it is equally likely",2,1,42,"1: male",NA,"correct","correct"
"iDJE8HhC2QY9",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","I think it is 50;50 if the tribesman is a hunter or a fisherman as the scenario does not state if the tribesman is carrying a net!
If the tribesman was carrying a net as well as a spear it would make him a fisherman!",2,1,64,"1: male","no errors or issues encountered!","correct","correct"
"idrnAFrdPKXx",4,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_noInfo","Fisherman also carry nets, but tribesman has a spear

",2,1,27,"2: female",NA,"correct","correct"
"Ili7UF7Cn8C6",4,"1: I confirm","1: I will take it seriously","narrow_right",9,"spearNet_noInfo","as he was only carrying a spear i would think he was a hunter or some form of net would have been carried too",2,1,31,"2: female","no errors","correct","correct"
"J7AOPyNymCAn",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","It doesn't say he didn't have a net. Since they both have spears, this is a 50:50.",2,1,25,"1: male",NA,"correct","correct"
"Jcr8gKfShXXx",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","This rating is based on the fact that the whole tribe are using spears which means that unless the person is carrying a fishing net, they could belong to either of the work classes",2,1,30,"1: male","No errors","correct","correct"
"LxSB4WtwUVYg",4,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_noInfo","Sure, it could've been a spear fisherman, but from the information given it could only be a hunter. I.E ""had a spear"". Having a spear doesn't necessarily mean he couldn't have another weapon but that's my reasoning behind it.",2,1,21,"1: male",NA,"correct","correct"
"nM1jhH1ESusy",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","Because both the hunters and spear fisherman carry spears!",2,1,34,"1: male","I had no issues whatsoever!","correct","correct"
"OvBFyNQ1xHT5",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","All tribe members carry spears, so it seems like a 50/50 chance.",2,1,31,"2: female","n/a","correct","correct"
"PFc00G3L27WY",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","the group is split into two sides equally, both carry spears, so a random person it would be a 50:50 chance",2,1,33,"1: male",NA,"correct","correct"
"RQXGFVkWbiin",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","Both groups carry spears and with no information on whether the individual is carrying a net it's not possible to choose a category. ",2,1,34,"1: male",NA,"correct","correct"
"TKHfdkxNwwev",4,"1: I confirm","1: I will take it seriously","narrow_right",10,"spearNet_noInfo","It only mentioned that the tribesman I came across was carrying a spear, so I assume that no net was also being carried, and that means that it would be a hunter instead of a fisherman.",2,1,29,"1: male",NA,"correct","correct"
"TX7tF7Gztjv4",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","All the men have a spear. So it could be either. Though in reality a spear only carrier would be slightly more likely due to practicalities. ",2,1,39,"1: male","None","correct","correct"
"ugT5NNLyMERE",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","Both carry spears. There are two tribes, so it's split half, 50/50. It could be either tribesman, so equally 50/50.",2,1,24,"2: female","None.","correct","correct"
"uXIgOzDFFcOs",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","All the tribespeople carry spears (just fishermen carry an additional item), so it is equally as likely - without additional context on where I am when I come across the individual - that it is a 50/50 chance.",2,1,35,"2: female","None","correct","correct"
"WeTmh8gUyEF4",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","There is no mention of a net just a spear, and both use a spear",2,1,59,"1: male",NA,"correct","correct"
"wzoC2ImtgVtm",4,"1: I confirm","1: I will take it seriously","narrow_right",8,"spearNet_noInfo","I feel as if they were a fisherman they would have a net as well, not just a spear, but I split the difference between leaning towards hunter and possibly a fisherman.",2,1,47,"1: male","No issues. Thank you so much for the opportunity and I hope you have a wonderful day!","correct","correct"
"xLHiLeecm0LI",4,"1: I confirm","1: I will take it seriously","narrow_right",5,"spearNet_noInfo","the person had a spear. both hunters and fisherman have spears.",2,1,58,"1: male",NA,"correct","correct"
"Yi8zMf1ul0M3",4,"1: I confirm","1: I will take it seriously","narrow_right",7,"spearNet_noInfo","It's possible he can also be a fisherman and just not seen his net",2,1,45,"2: female",NA,"correct","correct"
"0rsEtEJrjzbA",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","There is a 50/50 chance he is a fisherman or hunter as both wear the colourful head dress but only a fisherman has a golden tooth. It has the same odds as a coin toss. ",4,3,34,"2: female",NA,"correct","correct"
"2MmqjXJmc4gB",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","It would be difficult to tell whether the tribesman had a golden tooth as would be unable to see a molar at the back of the mouth unless the tribesman opened his mouth wide. He wore a colourful headdress so he could equally be of either tribe unless you could clearly see a golden molar in which case he would most likely be a spear fisherman.",4,3,53,"2: female",NA,"correct","correct"
"3eHFyqZCLyxD",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","If hes wearing a colourful head dress then he is a member of the tribe and could be either a hunter or a spear fisherman , in the absence of any other information regarding having a gold tooth or the relative populations of the hunters or fishermen the safest guess would be 50% either way in my opinion.",4,3,55,"1: male","no errors","correct","correct"
"3ifF4baNyDne",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Without the further information it is impossible to tell which way they could go.",4,3,31,"1: male",NA,"correct","correct"
"4MbNWJiYpyMu",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","because there was not enough info to discriminate",4,3,54,"1: male",NA,"correct","correct"
"55BoA8mBujDh",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Half the individuals belong to each population, and there was no information on whether the one identified had the feature of the fisherman or hunter grouping so therefore there was a 50% chance they belonged to each.",4,3,38,"2: female","There's a spelling error in the multiple choice questions, ""feathered"" is incorrect in one of the choices in the first question.","correct","correct"
"7Z7mpIa4xykE",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Unless we can confirm they have a golden tooth or confirm the tool they use it is impossible to know for certain.",4,3,33,"1: male",NA,"correct","correct"
"abDfePFk5ZrY",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","You haven't seen the distinguising feature (the tooth) so you cannot judge. The description could be either kind of tribesmember",4,3,34,"2: female",NA,"correct","correct"
"aEl6tIHk0YdO",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Both hunters and fishermen have headdresses, but only the fishermen have the golden molar tooth. For that reason, it could be either of the two. Just because we haven't seen or know if they have the tooth, it doesn't mean they don't or do have one",4,3,22,"1: male","None to my knowledge","correct","correct"
"aSMUaOVYKVLz",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Why I made that decision is because they didn't state clearly that he has a golden tooth. there is a probability that he has a golden tooth or not so he can come from any of the 2 tribe.",4,3,30,"1: male",NA,"correct","correct"
"egnJR1Wlx1ky",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Both groups wear colourful headwear but as I was not certain if he had the golden tooth I could not be sure which group he belonged to",4,3,59,"2: female",NA,"correct","correct"
"fe6suAnUQbhk",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","It's a 50-50 probability because we can't see his molar but we can see his attire and we have already been given that the tribes are divided into 2 halves. ",4,3,37,"1: male","None","correct","correct"
"gyVZXXknzJSo",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","Without knowing if the tribesman has a golden molar tooth the person could either be a hunter or a spearsman so therefore my answer was 50-50",4,3,40,"1: male","None","correct","correct"
"hooJ4kQ1pUp1",5,"1: I confirm","1: I will take it seriously","narrow_left",5,"featherTooth_notKnow","With no other information it feels he is equally likely to have a gold tooth as not so could be either...",4,3,35,"1: male",NA,"correct","correct"
