"subj_code","explanation2","different explanation","no explanation or unclear","misunderstood scenario","indifferent if possible","inferred absence of latent feature due to good visibility","inferred absence due to presentation of information","inferred absence of latent feature","rating_rec","Features","Knowledge"
"D6ZP6zW7Moji","fisherman",NA,1,NA,NA,NA,NA,NA,"broad","spearNet","notKnow"
"dKIObRECouRR","Without any further information it is hard to reason either way. It's a 50/50 shot so I could easily pick both.",NA,NA,NA,1,NA,NA,NA,"narrow","spearNet","notKnow"
"eusvvEIRjr1v","Because I have come across him he must be in front of me and if I can't see an obvious net I am going to assume he doesn't have one and therefore is a hunter",NA,NA,NA,NA,1,NA,1,"narrow","spearNet","notKnow"
"g7gUnl2QMVaq","I'm not sure. it was a guess",NA,1,NA,NA,NA,NA,NA,"broad","spearNet","notKnow"
"gJDgEm5Cl3kg","A net would have been visible",NA,NA,NA,NA,1,NA,1,"narrow","spearNet","notKnow"
"gX2eLVb1Sngx","more likely hunter if he was not by the river",1,NA,NA,NA,NA,NA,NA,"narrow","spearNet","notKnow"
"jBmmZ6h8Nt8g","I would quickly assume that the tribesperson is a hunter because I can't see their net. I could not be completely sure until I saw them walking around with all their equipment but I think it would be a fair logical assumption.",NA,NA,NA,NA,1,NA,1,"narrow","spearNet","notKnow"
"jXum0E53Tr2B","A net should be visible, and while a hunter carries the right equipment to also be a spearfisherman, the spearfisherman needs a net to differentiate him/herself from the hunter",NA,NA,NA,NA,1,NA,1,"narrow","spearNet","notKnow"
"l86gdAjRY8ov","Either, he may have a net but we don't know",NA,NA,NA,1,NA,NA,NA,"narrow","spearNet","notKnow"
"Nhh31qstgY33","I would have written that he could be either but perhaps more likely a hunter.",NA,NA,NA,1,NA,NA,NA,"narrow","spearNet","notKnow"
"nVEjDP5TlMtw","I'm unsure, I would need context clues. If he had a bag I'd probably say fisherman as the net could be in that but if he just had a spear, I would then say hunter.",NA,NA,NA,1,NA,NA,NA,"broad","spearNet","notKnow"
"oqXhRe7bKTMg","Half the tribesmen carry a net. If i dont know he has a net then it would be likely that you would see a fishermans net if he was carrying it",NA,NA,NA,NA,1,NA,1,"narrow","spearNet","notKnow"
"0gXBesoub768","a hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"2cCjrvhga4ZK","I think the fisherman would be proud of his golden tooth and show it, if we can't see any golden tooth then it's probably a hunter",1,NA,NA,NA,NA,NA,1,"narrow","featherTooth","notKnow"
"2xBWpMb5WDTc","i would lean towards hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"6hgQzwCmxKgO","I would say a hunter, because I am meeting them on land. There is a slightly bigger chance that the hunter is on land than the fisherman, who will sometimes be at sea, fishing.",1,NA,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"73Cjh8nPPcFR","I can't tell there's a 50/50 chance he could be either. I would have just had to take a punt on one of the either and had a 50% chance I was right.",NA,NA,NA,1,NA,NA,NA,"broad","featherTooth","notKnow"
"c9gD5yUMDEn8","A hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"cNzOIGGqMGcp","Fisherman",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"dTjLqZ51NyPu","The tribesman could be either but since we cannot confirm his teeth, we are morelikely to be correct if we choose hunter.",1,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"hc1H24pLgndh","more likely a hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"iaZQfMBdtClK","No way of knowing. There would be an equal chance of him being either",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"iws2QOf8wbnz","Its a 50 percent chance either way, as we would require more information to make a good guess. So im going for hunter",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"mPhOvjhwJVJu","A hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"n2SUR1EHBG7u","I think the tribesman was a hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"N52v1NUt7p50","hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"O0UwLoqlsSCq","I have no idea, and think it's a 50/50 choice. However if you suppose fishermen spend a certain amount of time in the sea, then I am more likely to bump into a hunter - therefore I chose hunter.",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"OiBJZNGhNyxm","hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"p5v9DAuPyX3t","I could not guarantee that the tribesman was more likely to be a fisherman because of not knowing if they had a golden molar, so I went with the hunter.",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"QvymPDwJFlVM","I would have chosen randomly, Hunter. If I was given more information, such as I saw him in the forest I would have said hunter, if it were on a beach I would have said fisherman. As it was with the limited information, my decision was random.",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"uXfc0cCICD7t","I would have stated that I think it was a fisherman. More factors/information would have been needed i.e. the gold molar tooth to make a correct decision but I went with fisherman as it was a tribesman that we came across. It doesn't mention fisherwomen so I went with the fact as it was a man there was more likely it might be a fisherman.",NA,1,NA,NA,NA,NA,NA,"broad","featherTooth","notKnow"
"zADuCgyheR8O","Hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"0lIPPBelvgOe","I would think the tribesman was more like to be a hunter as the only distinguishable factors in front of us were the hunters properties. As we couldn't see the gold molar tooth of the spear fishermen, you could only see that its a hunter.",NA,NA,1,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"72e34Y3mS9ji","On the evidence I had given to me I would have to go for the hunter as there was nothing to show me that they person had a golden tooth. Its a 50/50 to guess",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"BvcYqrdC68xq","I would have written that it would have been impossible to tell and that there would be a 50/50 chance it could be a hunter or fisherman",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"kmOOeamsbuLO","until they opened their mouth, i would presume spear hunter",NA,NA,1,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"lCe1T1EZSDwD","a hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"NlkREBnfmHkR","A hunter based on headdress and no knowledge of teeth",1,NA,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"No8Xf34rxQnS","Not enough information to make a decision so really whatever I choose is irrelevant",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"oj592nqfJzG1","I would say hunter as a golden tooth tends to be a prominent and noticeable feature, and the absence of this makes them more likely to be a hunter.",NA,NA,NA,NA,1,NA,1,"narrow","featherTooth","notKnow"
"PBHODt0Jc34q","i would of written he was a hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"SEhvBhl0Tt5E","hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"TdPtryu2qapD","I would have written that, as there is a 50% chance that the tribesman was a hunter or fisherman and neither was more likely, I just opted for hunter and took a guess.",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"tNSK2bA2kvK8","I would have said that I couldn't tell due to both groups wearing headdresses but without being able to see if they had gold tooth there was no way of telling. Also no other information like where I met them i.e. near a river",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"ukDb6UGuhQ1S","hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"vLsZDUe1yPoN","I would have written that there was an even chance since I hadnt seen his teeth",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"vuMPNwf8zIRz","It is impossible to tell from the information given whether he is a hunter or  fisherman. He could equally be either.",NA,NA,NA,1,NA,NA,NA,"broad","featherTooth","notKnow"
"xA4ZYeVuKzVT","I think either option is equally likely but if I have to choose one or the other then I choose hunter because I think I am more likely to encounter them because fishermen would be out on the river or sea so I am less likely to meet them perhaps.",1,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"XMSx3wDUHLDl","I can't tell because whether or not he has a golden molar is hidden.",NA,NA,NA,1,NA,NA,NA,"narrow","featherTooth","notKnow"
"Xtclkab5rjct","I would've wrote hunter",NA,1,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"y4lGCCb1MxY0","It is a hunter as with fisherman I would have to see if they have a gold tooth.",1,NA,NA,NA,NA,NA,NA,"narrow","featherTooth","notKnow"
"yi61VqotWPZY","With the information given, it's a 50-50 choice as the only difference is the golden molar tooth. I opted for hunter on the basis that if you had seen the golden tooth then you would know that it was a fisherman, so as you hadn't seen it, then it's more likely that they don't have the tooth, so it's a hunter.",NA,NA,NA,1,1,NA,1,"narrow","featherTooth","notKnow"
